id,titulo,subtitular,categoria
012522norte,reparan puente,"cansados de esperar desde hace ano y medio, vecinos aportan mano de obra",Proyectos de Infraestructura
012522oriente,aplican medida de salud,acciones buscan prevenir contagios en transporte de chiquimula,Seguridad y Bienestar
012522guate,extinguen las llamas,auxilian a conductor de vehiculo que sufrio accidente en el anillo periferico zona 7 capitalina,Accidentes y Tragedias
012622nacional,motorista mata a ladron,victima repele ataque y queda herida en la zona 7 de la capital,Comunidades
012622occidente,preocupan robos y extorsiones,multiples denuncias ponen en alerta a las autoridades en huehuetenango,Crimenes
012622centro,servicio irregular,usuarios del transporte publico de chimaltenango con dificultades para viajar,Comunidades
012622sur,tacuacina lo arrolla,piloto muere en el kilometro 249 entre el crucero de la virgen y ayutla,Comunidades
012622norte,reparan camino,ruta de puerto barrios a honduras es de riesgo para conductores debido a abandono,Comunidades
012622oriente,esquivan charcos,aguas servidas afectan a vecinos del barrio buenos aires zacapa,Comunidades
012622guate,muere a tiros,presuntos pandilleros atacan a conductor de tuctuc en la colonia landivar zona 7 capitalina,Comunidades
012722nacional,mareros matan a rivales,extorsionistas repartian telefonos en villa nueva,Comunidades
012722occidente,les dan ultimatum,transportistas tienen hasta el 11 de febrero para pagar derecho de paso en san pedro sacatepequez,Comunidades
012722centro,perece arrollado,vecinos senalan que se dedicaba a pastorear reses en santo domingo xenacoj,Religion y Tradicion
012722sur,vecinos abren paso,"habilitan calle para trasladar productos en el matasano, san pablo",Comunidades
012722norte,vivos de milagro,condiciones climaticas y exceso de velocidad causan que vehiculo choque contra arbol en puerto barrios,Accidentes Viales
012722oriente,reubican buses,unidades interurbanas de esquipulas se estacionan en la 9a calle entre 6a y 7a avenidas,Comunidades
012722guate,tenian municiones,policia captura en la zona 5 a tres presuntos integrantes de la mara salvatrucha con arma hechiza y siete celulares,Comunidades
012822nacional,chofer muere,trailer cae en barranco en la cumbre de huyus el progreso,Comunidades
012822occidente,sanalan anomalias,comerciantes denuncian abuso de autoridad y exceso en el cobro de piso de plaza en el canton el mosquito de san pedro sacatepequez,Comunidades
012822centro,asfaltaran ruta,inversion en ruta que comunica a patzun y tecpan guatemala sera de q98 millones,Comunidades
012822sur,conectan comunidades,vecinos de san agustin pacaya en coatepeque construyen puente sobre el rio la ceiba,Proyectos de Infraestructura
012822norte,amplian operativos,policia sigue identificando personas en la frontera para evitar delincuencia y migracion ilegal en puerto barrios,Criminalidad y Violencia
012822oriente,limpian canal,vecinos de la fragua zacapa hacen llamado a evitar contaminacion de afluente,Comunidades
012822guate,ataque en cevicheria,hombres armados ingresan a local y sin mediar palabra asesinan a hugo garcia en la zona 12,Comunidades
012922nacional,caceria de coyotes,los acusan de trasladar por mexico a migrantes asesinados en tamaulipas,Comunidades
012922occidente,bloquean permisos,toman medida en san marcos por exagerado numero de taxistas y microbuses,Comunidades
012922guate,les disparan,dos jovenes resultan heridos en ataque armado registrado en la colonia san luis la leyenda san pedro ayampuc,Accidentes y Tragedias
013022nacional,manejaba borracho,atropella a joven y dana vivienda en el barrio la reformita,Comunidades
013122nacional,choca contra camion,encuentran botellas de licor en cabina de picop en siquinala escuintla,Comunidades
013122occidente,sufren por contaminacion,vendedores exigen a autoridades cambiar de lugar el botadero municipal en san cristobal totonicapan,Comunidades
013122centro,ganan en el nido,hristopher robles consigue el gol del triunfo para chimaltenango ante zacapa,Comunidades
013122sur,ahogan al puerto,plataneros derrota 0 3 a san jose en el vicente arevalo,Comunidades
013122norte,reparan carreteras,maquinaria ya trabaja en rutas hacia el casco urbano en san francisco,Accidentes Viales
013122oriente,caen por la minima,gallos de zacapa tellioz sufren derrota 1 0 ante chimaltenango,Comunidades
013122guate,llegan a golear,juventud pinulteca se lleva el triunfo frente a aurora fc de la primera division en su visita al estadio cementos progreso,Comunidades
020122nacional,arde trailer,chofer se salva de siniestro en el km 222 concepcion las minas chiquimula,Comunidades
020122occidente,cierran consulta al hospital,brote de coronavirus obliga a tomar medida en san marcos,Educacion y Salud Comunitaria
020122centro,estrenan calle,inauguran empedrado y anuncian cambio de via en la 5a avenida sur de la antigua guatemala,Comunidades
020122sur,picop se atraviesa,conductor y acompanante herdios por choque en pueblo nuevo la blanca,Accidentes Viales
020122norte,ya tienen agua,mas de 500 familias beneficiadas en aldea la ceiba sayaxhe,Comunidades
020122oriente,cae por extorsion,capturan en olopa chiquimula a timoteo valdez acusado por tres delitos,Crimenes
020122guate,fuego deja perdidas,cuerpos de socorro sofocaron incendio en predio de vehiculos de carga ubicado en el km 14 de la ruta al atlantico,Riesgos y Emergencias
020222nacional,baleado sin piedad,crimen ocurrido en parada de bus en san miguel petapa,Criminalidad y Violencia
020222occidente,senalan anomalias,empleados exigen que aumento salarial sea para todo el personal en la comuna de san marcos,Comunidades
020222centro,cancelan procesiones,templo santa ana de la antigua guatemala suspende cortejo del 17 y 27 de marzo proximo,Comunidades
020222sur,internan a mas contagiados,area de covid 19 del hospital la montana en el malacatan tiene 14 pacientes el 1 de enero no habia ninguno,Educacion y Salud Comunitaria
020222norte,previenen a turistas,el mp pide denunciar abusos contra visitantes en la fiscalia especial en la isla de flores,Comunidades
020222oriente,perece arrollado,jose hernandez se cayo de banqueta cuando trailer pasaba en san sebastian esquipulas,Comunidades
020222guate,quedan heridos,desconocidos disparan contra hombres que ingerian bebidas en calle del asentamiento las torres zona 7 capitalina,Accidentes y Tragedias
020322nacional,el clasico es rojo,matias rotondi con doblete derrota a los cremas,Comunidades
020322occidente,gallos sacan las espuelas,san pedro domina juego contra plataneros en la blanca,Comunidades
020322centro,rebasa capacidad,fosa septica colapsa en santa catarina barahona y aguas residuales afectan a vecinos,Comunidades
020322sur,duelo defensivo,coatepeque empata 0 0 en el israel barrios antes marquense por la fecha 4 de clausura,Comunidades
020322norte,tendran agua,mas de 18 mil vecinos veran proximamente el servicio en sus hogares en los amates,Comunidades
020322oriente,escasea el agua,penas de vecinos de santa rita guastatoya suman cuatro dias,Comunidades
020322guate,vivio de milagro,conductor pierde el control de su vehiculo y vuelca en el anillo periferico en la zona 11,Comunidades
020422nacional,crimen en la terminal,joven caminaba con su hermana en el sector de las gradas,Criminalidad y Violencia
020422occidente,pavimentan camino,via que lleva a parque ecologico estuvo abandonada por 30 anos en esquipulas palo gordo,Comunidades
020422centro,drenaran agua,instalan tubos para evitar inundaciones durante el invierno en la alameda chimaltenango,Comunidades
020422sur,arrollado por auto,hombre herido de gravedad estaba de visita en zona 3 de colombia,Accidentes y Tragedias
020422norte,reubican a vendedores,se instalan afuera del mercado y habilitan mas parqueos en los amates,Comunidades
020422oriente,danan tuberias,desconocidos afectan distribucion de agua para sector hotelero de esquipulas,Comunidades
020422guate,fiel hasta el final,dona ofelia y su mascota mueren calcinados en la habitacion en donde vivian en la colonia los angeles zona 1,Comunidades
020522nacional,profugo enfrente a policias,israel salguero escapo de la carcel en 2020 ayer disparo contra agentes antes de morir zacapa,Comunidades
020522occidente,multan a choferes,infringen ley al llevar polarizado en unidades y carecer de protocolos en san pedro sacatepequez,Comunidades
020522guate,la muerte lo esperaba,mario saban salio de su casa y minutos despues fue asesinado en el asentamiento jesus de la buena esperanza en la zona 6,Comunidades
020622nacional,matan a chofer y ayudante,sicarios les hacen la parada y los balean en colomba quetzaltenango,Criminalidad y Violencia
020722nacional,tragico encontronazo,jovenes huian tras chocar contra auto en villa nueva,Comunidades
020722occidente,contaminan el bosque,comunitarios molestos por botadero ilegal en aldea la federacion san marcos,Comunidades
020722centro,suman en el nido,colombiano harold estupinan le da la victoria a chimaltenango ante atletico mictlan,Comunidades
020722sur,cazan al venado,coatepeque despierta del letargo para vencer de visita 0 1 a suchitepequez,Comunidades
020722norte,empiezan con pie derecho,doblete de saul sanchez le da la victoria a heredia en juego contra manati fc en morales,Comunidades
020722oriente,se lucen en casa,sanarate fc madruga y celebra triunfo 2 0 frente a juventud pinulteca,Comunidades
020722guate,renido duelo,los albos intentan ir al frente pero no encuentran la ruta del gol ante sacachispas en jornada del torneo de clausura de la primera division,Deporte
020822nacional,arde bodega,propietarios almacenaban juegos pirotecnicos en la zona 1 de la capital,Comunidades
020822occidente,transportistas se organizan,insisten en no pagar el seguro obligatorio,Deporte
020822centro,baja vacunacion,salud senala que de 20 mil habitantes de santa maria de jesus solo 9 mil se han inmunizado contra el covid 19,Seguridad y Bienestar
020822sur,pensaron que estaba muerto,vecinos hallan a hombre en el fondo de hondonada en chiquirines la blanca,Comunidades
020822norte,estrenan puente,vecinos de cuatro aldeas estaban incomunicados desde el paso de eta e iota en los amates,Proyectos de Infraestructura
020822oriente,picop lo arrolla,viraje en u y abuso de velocidad causan percance en la zona 2 de chiquimula,Accidentes Viales
020822guate,agradecen bendiciones,el hoger de la familia rac se viste de fiesta al recibir la imagen del nino dios como dicta la tradicion en san juan sacatepequez,Comunidades
020922nacional,4 muertos en choque,camionero rebasaba y embiste a tuctuc en chisec alta verapaz,Accidentes Viales
020922occidente,matan a comerciante,sicarios le disparan a quemarropa a juan fernando maldonado en la zona 7 de huehuetenango,Criminalidad y Violencia
020922centro,habra mas transporte,buscan cubrir las seis zonas de ciudad vieja con proyecto que empezaria en marzo,Comunidades
020922sur,choca contra arbol,conductora de 18 anos herida tras impacto en el sector alameda maza coatepeque,Comunidades
020922norte,se embarranca,chofer y pasajeros heridos en impacto con trailer de puerto barrios,Comunidades
020922oriente,muere en hospital,andrea lopez fue atacada a balazos en la zona 4 de chiquimula,Educacion y Salud Comunitaria
020922guate,muere acuchillado,hombre intentaba escapar pero cae por la gravedad de las heridas en lomas de santa faz zona 18,Comunidades
021022nacional,cuidaba carros,mareros querian obligar a raul rodriguez a cobrar extorsion en la capital,Deporte
021022occidente,renido empate,con dos goles por bando tejutla y juventud comiteca se reparten los puntos,Comunidades
021022centro,mas municipios en alerta roja,once poblados de chimaltenango registran aumento de contagios por covid,Comunidades
021022sur,hombre lo ataca ,victima herida con cuchillo en la ribera del suchiate en ayuda,Comunidades
021022norte,paso se complica,aguacero causa crecida del lago peten itza y cierran anillo externo de isla en flores,Comunidades
021022oriente,baja demanda de vacunas,area de salud de zacapa llama a completar esquema anticovid 19 en adolescentes,Seguridad y Bienestar
021022guate,ataque en san gaspar,alvaro gomez murio horas despues de haber sido herido en el sector los mendez en zona 16,Accidentes y Tragedias
021122nacional,agente muere en vuelco,quedan heridos tres policias en accidente en curva de sacapulas quiche,Accidentes y Tragedias
021122occidente,advierten de estafas ,municipalidad investiga venta ilegal de espacios en cementerio de san pedro sacatepequez,Crimenes
021122centro,vapulean a mototaxista,vecinos de tecpan guatemala acusan a helbert estuardo hernandez y acompanante de violar a dos mujeres,Comunidades
021122sur,sobrevive a ataque armado,nancy caceres recibio cinco tiros en la blanca san marcos,Comunidades
021122norte,esperan compradores,floristas ya estan listos para comercio por el dia del carino en ciudad flores,Comunidades
021122oriente,perece en hospital,atacan a balazos a joven que transitaba en ruta a shororagua chiquimula,Educacion y Salud Comunitaria
021122guate,recogen verduras,a pocas cuadras cuadra de llegar al mercado 3 de mayo conductor de camion con productos vuelca en la zona 6,Comunidades
021222nacional,cae banda de asesinos,capturan a 14 extorsionistas en cateos en cinco departamentos,Comunidades
021222occidente,empiezan trabajos,pavimentacion beneficiara a tres municipios que conectan con san pedro necta,Comunidades
021222guate,arden locales,incendio consume tres comercios y tres bodegas en la zona 2 propietarios estiman las perdidas en miles de quetzales,Riesgos y Emergencias
021322nacional,de final de futbol a triple crimen,tras quedar campeones matan a dueno de equipo esposa y a jugador en la capital,Criminalidad y Violencia
021422nacional,asesinado a golpes,ladrones se llevan pertenencias de joven en villa nueva,Comunidades
021422occidente,cede el liderato,shecanos empatan con suchitepequez y bajan al segundo puesto,Comunidades
021422centro,reparten puntos,chimaltenango estuvo cerca de la victoria pero juventud pinulteca le amarga el festejo,Comunidades
021422sur,abejas lo dejan inconsciente,gabriel de leon trabajaba en el campo cuando fue atacado por enjambre en coatepeque,Comunidades
021422norte,descubren robo de madera,la policia halla un campamento de depredadores mexicanos durante patrullaje en la selva petenera,Crimenes
021422oriente,macheteados en cantina,dos amigos fueron atacados mientras bebian licor en gualan,Comunidades
021422guate,golea en casa,deportivo mixco se despacho con la cuchara grande frente a agua blanca en el estadio santo domingo de guzman,Religion y Tradicion
021522nacional,marco pappa pide perdon,cinco anos de carcel para exfutbolista por reincidencia,Deporte
021522occidente,guerra contra delincuentes,vecinos se organizan contra ladrones y extorsionistas en la zona 4 huehueteca,Comunidades
021522centro,no se deje bajo el pasaje,piden denunciar abusos en transporte urbano de la antigua guatemala,Comunidades
021522sur,bachean por su cuenta,transportistas de malacantan unen recursos por falta de apoyo,Comunidades
021522norte,hacen recuento de los danos,autoridades contabilizan 37 viviendas afectadas por tornado en morales,Comunidades
021522oriente,embestido por auto,conductor irrespeta senal de transito al incorporarse a carril en chiquimula,Comunidades
021522guate,protegen su salud,cobertura de poblacion vacunada contra el covid 19 se amplia en mexico donde continua la demanda para completar el esquema,Seguridad y Bienestar
021622nacional,regresan en moto a juzgado al hamburguesa luego de intento de fuga capturados sacan de su casa al expresidente hondureno juan orlando hernandez para extraditarlo,-,Riesgos y Emergencias
021622occidente,preocupa muerte de reses,vecinos exigen a las autoridades vacunar al ganado en las aldeas el bojonal la lucha y el rincon,Comunidades
021622centro,enfrentan juicio,comerciantes de mercado municipal de la antigua guatemala son senalados de cuatro delitos,Crimenes
021622sur,listos para ciclo 2022,maestros del sector oficial retoman actividades presenciales y esperan a alumnos en malacatan,Comunidades
021622norte,temen perder el lago,alcaldes de peten solicitan fondos para proteccion del atractivo natural,Comunidades
021622oriente,chofer sale ileso,trailero pierde el control y vuelca en chiquimula,Comunidades
021722nacional,bajada de la muerte,trailer impacta contra seis vehiculos quedan dos fallecidos y trece heridos,Accidentes y Tragedias
021722occidente,estamos vivos de milagro,movimiento telurico deja destruccion en casas de adobe en totonicapan,Comunidades
