011223norte,choque deja un muerto y un herido,deifry carrera  de 21 anos  fallecio y el conductor  no identificado  sobrevivio al percance,Accidentes y Tragedias,
011223guate,pasar fue un calvario,lluvia afecto ruta de sajcavilla a lo de mejia,Riesgos y Emergencias,
011323nacional,510 asaltos en casas en 2022,bandas criminales han evolucionado y ahora se dedican al saqueo de viviendas,Seguridad y Bienestar,
011323centro,se quedan sin transporte,manifestacion de tuctuqueros afecta a usuarios y municipalidad deja de atender,Comunidades,
011323occidente,un muerto y dos heridos en choque,socorristas indicaron que el conductor de la camionetilla iba ebrio,Accidentes Viales,
011323oriente,salieron de paseo,rony ramos  de 45 anos  y su sobrina quedaron heridos tras choque de vehiculos de dos ruedas,Accidentes Viales,
011323sur,alto voltaje le costo la muerte,trabajadores de empresa tocan cables de alta tension y sufren descarga electric,Accidentes y Tragedias,
011323norte,bailan y cantan con grupo rana,mas de 3 mil peteneros disfrutan concierto por feria patronal en honor al cristo negro,Religion y Tradicion,
011323guate,47 anos en el olvido,alfareras ubican sus puestos de venta en el terreno destinado para construir el mercado de artesanias  una obra que siguen esperando,Comunidades,
011423nacional,encuentran mas restos humanos en casa del terror,en una vivienda de santa faz  zona 18  hallan huesos  analizaran si son de los siete cuerpos que ya se habian ubicado o de nuevas victimas,Seguridad y Bienestar,
011523nacional,mas de un millon circularan,autoridades de transito del departamento de guatemala recomiendan salir media hora antes a partir de manana  pues se preve que comiencen clases en universidades y colegios privados,Comunidades,
011623nacional,un millon de estudiantes vuelven al colegio,alumnos del sector privado empiezan hoy las clases presenciales en al menos 4 mil 700 centros educativos de todo el pais,Educacion,
011623centro,celebran el milagro,catolicos muestan devocion al cristo negro de esquipulas,Religion y Tradicion,
011623occidente,elevan plegarias al cristo negro,comunidad catolica del o idente rinde honores al cristo negro de esquipulas en su dia,Religion y Tradicion,
011623oriente,miles celebran,feligreses acompanan inicio de novenario de misas al cristo negro  con procesiones,Religion y Tradicion,
011623sur,veneran al cristo negro,con alborada y serenata  devotos festejan el dia del senor de esquipulas,Religion y Tradicion,
011623norte,35 anos de devocion al cristo negro,aldea machaquitas chiclero celebra a su patrono con misa y encendido de velas,Religion y Tradicion,
011623guate,chocar sale caro,conductor responsable debe pagar el costo de la reparacion de un semaforo o poste  que va desde q4 mil 500 hasta q90 mil  segun el dano ocasionado,Accidentes Viales,
011723nacional,117 temblores al dia,enjambre sismico afecta a comunidades de jutiapa desde el domingo  la mayoria teme que sus casas se terminen de desplomar p,Desastres Naturales,
011723centro,en dos semanas despejara ruta,efectuan explosiones controladas en km 90 7 de la rn-14 tras derrumbe de hace dos meses,Proyectos de Infraestructura,
011723occidente,escuelas costaran q1 5 millones,centro eduativo estaria listo en febrero  antes de que omienen las lases pa,Educacion,
011723oriente,rina en cancancja deja un muerto,de un solo disparo acaba con la vida de su primo,Criminalidad y Violencia,
011723sur,primer bloqueo,maestros exigen que restituyan a supervisor educativo y cierran la ruta ca-2,Educacion,
011723norte,patrono recorre ka isla,procesion del cristo negro de peten cierra deria departamental que duro 10 dias,Religion y Tradicion,
011723guate,cosntriran paso a desnivel,autoridades anuncian que proyecto al final de la aguilar batres empezara el 24 de enero proximo y durara ocho meses,Proyectos de Infraestructura,
011823nacional,16 mujeres van asesinadas en el 2023,comenzando el ano  siguen los hechos de violencia  uno de los ultimos casos es el de una madre que iba al mercado,Seguridad y Bienestar,
011823centro,paso estara cerrado por un mes,cambio de empedrado en la 6a  avenida norte finalizara antes del comienzo de la cuaresma,Proyectos de Infraestructura,
011823occidente,quebro 17 vidruis del palacio maya,detienen a supuesto responsable de ocasionar perdidas por mas de q5 mil,Delincuencia,
011823oriente,vuelven a clases,inbecc da por inaugurado el ciclo escolar 2023 en su modo presencial,Educacion,
011823sur,muere de camino a casa,repartidores sufren accidente en motocicleta y uno pierde la vida en ruta a champerico,Accidentes Viales,
011823norte,caminan 3 km entre el lodo,vecinos exigen reparar ruta hacia punta de palma,Comunidades,
011823guate,esperan la via mas de una hora,conductores sufren al transitar en la cuchilla de el milagro hacia ciudad quetzal  donde obra de pavimentacion ha avanzado en un 75 por ciento,Proyectos de Infraestructura,
011923nacional,incautan lanzacohetes y arsenal pesado al narco,armas de alto poder  asi como drogas y dinero fueron decomisados a la organizacion de wicho veneno  donde tambien vinculan a seis policias,Delincuencia,
011923centro,ataques de perros callejeros,menor se debate entre la vida y la muerte al ser arrollado por tuctuc cuando escapaba de canes,Accidentes Viales,
011923occidente,regresaba del taller,porfirio velasquez murio al caer con su vehiculo a hondonada de diez metros,Accidentes Viales,
011923oriente,en primeros dias de 2023 ocho asesinados,el panorama para los vecinos se pinta de sangre con las cifras del inacif en lo que va de enero,Comunidades,
011923sur,despues de dos meses colocan puenten bailey,paso beneficiara a mas de 20 mil vecinos de tierras del pueblo y otros cuatro cantones ,Proyectos de Infraestructura,
011923norte,capturados por asesinato de mujer,willy mayorga y hector sanchez son acusados de dar muerte a andrea ramirez hace un mes,Criminalidad y Violencia,
011923guate,disfrutan del ambiente,lo que antes eran tres barrancos en donde se tiraba basura ahora son parques ecologicos para uso y beneficio de la poblacion,Proyectos de Infraestructura,
012023nacional,cae violador de nino,abusa de menor aprovechando la amistad que tenia con el hermano  tambien le encuentran material pornografico,Accidentes y Tragedias,
012023centro,108 mil estudiantes regresan a las aulas,5 mil 26 maestros estan preparados en todo el departamento,Educacion,
012023occidente,suman 0 accidentes,pese a haber semaforos  en la calzada evolucion del 71 han ocurrido cuatro percances,Accidentes Viales,
012023oriente,muere arrollado por camion,cristobal hernandez de 76 anos volvia a la casa,Accidentes Viales,
012023sur,50 mil vehiculos sin paso,cierran transito sobre el puente sacua por danos de estructura bailey y tres municipios son afectados,Proyectos de Infraestructura,
012023norte,suman 289 casos de dengue,personal del area de salud de peten lucha para evitar propagacion ,Seguridad y Bienestar,
012023guate,denuncian inseguridad,vecinos piden apoyo para contener los asaltos en las calles sobre todo en el centro del municipio,Delincuencia,
012123nacional,se salva de morir quemado,piloto estuvo a punto de arder entre las llamas que consumieron su trailer en la ruta al pacifico,Accidentes Viales,
012223nacional,explota guerra en santa catarina ixtahiacan y nahuala,conflicto se agudiza y afecta a varias familias  han incendiado 5 casas y 4 vehiculos en enfrentamientos,Delincuencia,
012323nacional,le quitan la cabeza,en un enfrentamiento en el centro preventivo de la zona 18 decapitaron a alias chaparro sindican a cinco reos del hecho,Criminalidad y Violencia,
012323centro,necesitan q50 mil para repatriacion,familia pide ayuda para traer de vuelta a familiar que estuvo dos meses en ee uu  y murio,Comunidades,
012323occidente,se queda dormido al volante,jose tema resulto herido al ser aropellado por un motorista,Accidentes Viales,
012323oriente,esquivan un perro y choca,joven de 21 anos se estrella contra un carro y resulta fracturado,Accidentes Viales,
012323sur,se queda sin nada,cortocircuito destruye vivienda en minutos perdidas superan los 50mil quetzales,Accidentes y Tragedias,
012323norte,muere en choque contra camion,melvin armando garcia perez de 19 anos viajaba junto a un amigo  suceso ha causado consternacion,Accidentes Viales,
012323guate,rechazan efectivo,al menos 50 multas han extendido autoridades del transporte publico por cobros no autorizados en unidades del transurbano,Delincuencia,
012423nacional,muere alvaro colom,expresidente de guatemala (2008-2012) fallece en su casa a causa de quebrantos de salud,Accidentes y Tragedias,
012423centro,instalan 15 camaras de vigilancia,tras ataques armados autoridades locales incrementan plan de seguridad,Proyectos de Infraestructura,
012423occidente,mejoraran 55 sonrisas,ninos con paladar hendido y labio leporino seran operados sin ningun costo,Seguridad y Bienestar,
012423oriente,esquiva una piedra y ocasiona percance,novios quedan heridos tras chocar contra piloto,Accidentes Viales,
012423sur,ya no volvio a casa,domingo solval salio a kilometrar su motocicleta  pero encontro la muerte en curva,Accidentes Viales,
012423norte,destruyen 163 mil matas de hojas de coca,plantacion hallada en caserio gracias a dios esta calculada en q1 6 millones,Delincuencia,
012423guate,ofrecen terminar en abril,trabajos de ampliacion del puente tubac tienen un 40 por ciento de avance  segun covial,Proyectos de Infraestructura,
012523nacional,26 anos sirviendo a nuestros lectores,producimos contenidos que informan  educan y entretienen muchas gracias por tu preferencia,Comunidades,
012523centro,sin paso durante seis meses,comienza cambio de empedrada en la alameda santa lucia,Proyectos de Infraestructura,
012523occidente,a dos anos de la masacre,familiares de 18 migrantes asesinados en amaulipas  mexico  marchan para exigir justicia,Criminalidad y Violencia,
012523oriente,25 anos duro la tuberia,paso por la calle principal  camino a aldea santa elena  estara cerrado durante dos semanas,Proyectos de Infraestructura,
012523sur,preparan ek campo de la feria,mas de 200 comerciantes se instalaran durante el carnaval mazateco,Comunidades,
012523norte,intentan asaltar camion blindado,elder elias garcia diaz fue capturado tras el atraco,Delincuencia,
012523guate,aumentan controles,con la instalacion de camaras de vigilancia  botones de panico y operativos de agentes se pretende evitar actos delincuenciales ,Seguridad y Bienestar,
012623nacional,simulan asalto y roban q5 millones,cuatro empleados de una empresa de valores  como en las peliculas  actuaron un robo y se llevaron el botin que debian custodiar,Delincuencia,
012623centro,colapsa drenaje,colapsa drenaje aguas residulaes se empozan en calle y malos olores perjudican a los vecinos,Proyectos de Infraestructura,
012623occidente,cae en barranco de 100 metros,carlos castillo  de 53 anos  regresaba a casa cuando  al parecer  se quedo dormido en el volante,Accidentes Viales,
012623oriente,se fuga tras arrollar a mujer,muere luego de ser atropellada por un vehiculo residencial del valle,Accidentes Viales,
012623sur,incendio deja q200 mil en perdidas,fuego destruye carpinteria y maquinaria,Accidentes y Tragedias,
012623norte,buscan red de pornografia infantil,operativo nacional abarca a izabal para desarticular banda criminal,Seguridad y Bienestar,
012623guate,pasan horas en el trafico,miles de personas sufren un martirio para ingresar a la ciudad ya que las colas han llegado hastav el kilometro 20,Comunidades,
012723nacional,nina se opone a robo y le disparan,menor de 13 anos resulta con dos heridas de bala cuando tres asaltantes ingresan a su vivienda,Criminalidad y Violencia,
012723centro,cachan a 12 empleados robando medicina,hospital pedro de bathancourt refuerza seguridad,Seguridad y Bienestar,
012723occidente,7 municipios en riesgo,evaluaron socavamiento en aldea ixtiapoc para evitar el colapso de la ruta,Proyectos de Infraestructura,
012723oriente,exigen puestos de control,vecinos estan cansados de accidentes y piden la atencion de las autoridades,Seguridad y Bienestar,
012723sur,lo chocan y agarra fuego,familia que iba en carro sale ilesa tras ser impactada por camion,Accidentes Viales,
012723norte,conmocion por muerte de psicologa,gliriam elitanya chacon colisiono su auto contra trailes descompuesto en la carretera,Accidentes Viales,
012723guate,por fin adoquinan,cierran el paso vehicular mientras reparan las calles en la colonia villa lobos norte  donde al menos se invierten q350 mil,Proyectos de Infraestructura,
012823nacional,terror en centrasur,usuarios sufren panico en medio de balas  por enfrentamiento entre agentes de seguridad que se oponen a un asalto  dos guardias mueren,Criminalidad y Violencia,
012923nacional,noche de terror,asesinan a cuatro jovenes frente a tienda pnc investiga si fue rivalidad entre pandillas,Criminalidad y Violencia,
013023nacional,12 muertos y 16 heridos en accidente,entre la noche del sabado y mediodia de ayer ocurrieron al menos 17 hechos de transito,Accidentes Viales,
013023centro,resbala del bus y carro la atropella,hombre iba a abordar una unidad para dirigirse a casa tras finalizar jornada laboral,Accidentes Viales,
013023occidente,esperaron 3 anos por proyecto,alumnos  docentes y padres de familia inauguran las mejors relizads en escuela de la colonia egul,Comunidades,
013023oriente,le dispararon desde otro carro,piloto llevaba contenedor vacio cuando fue atacado a tiros,Criminalidad y Violencia,
013023sur,fuerte colision deja un muerti,choque cobra la vida de una persona y otra queda gravemente herida,Accidentes Viales,
013023norte,chofer escapara tras arrollar a hombre,nicolas rivas laboraba en un carwash y volvia a su casa,Accidentes Viales,
013023guate,agilizan reparacion,cierran un carril mientras estabilizan el terreno donde se originaron grietas en el columpio de vista hermosa,Deporte,
013123nacional,explosion arrebata 7 vidas,miembros de una familia perecen calcinados su casa se incendio por un aparente estallido de gas  otra victima se lanza a las llamas al no poder rescatarlos,Accidentes y Tragedias,
013123centro,necesitan mas tiempo para despejar via,enormes rocas complican que via sea despejada por completo en km 90 7 de la rn-14 y paso sigue alternandose,Comunidades,
013123occidente,investigan muerte de un maestro,con golpes en rostro fue encontrado el cuerpo de candido hernandez,Criminalidad y Violencia,
013123oriente,esperan a 40 mil motoristas,autoridades trazan plan para recebir peregrinos en la caravana del zorro,Comunidades,
013123sur,caen al rio luego de triple choque,esposos sobreviven de milagro tras accidente en el puente el nino,Accidentes Viales,
013123norte,reos tenian droga y armas,decomisan ilicitos durante requisa en carcel para evitar extorsiones y ataques armados,Delincuencia,
013123guate,dejaron obra a medias,padres de familia exigen a las autoridades terminar trabajos de remodelacion en la escuela 906  de san antonio las flores,Educacion,
020123nacional,los vapulean y no eran ladrones,un grupo de personas enardecidas golpeo a dos hombres que acusaban de asaltar una caja rural pero al revisar las camaras verificaron que no se trataba de ellos,Seguridad y Bienestar,
020123centro,proyectos se trasan dos anos,mides debia entregar obra de intoduccion de drenaje hace cuatro meses,Proyectos de Infraestructura,
020123occidente,obra costara q43 millones,comienza construccion de mercado en donde estaba el estadio kalim balan,Proyectos de Infraestructura,
020123oriente,evita colision y se encuneta,trailero sufre heridas tras accidentarse en el kilometro 60,Accidentes Viales,
020123sur,derroche de belleza,presentan a las nueve aspirantes al titulo de reina del carnaval mazateco,Comunidades,
020123norte,10 anos sin repararse,trece municipios quedarian encomunicados si ruta de el mirador llegara a colapsar,Proyectos de Infraestructura,
020123guate,aumentan los basureros clandestinos,pese a que hay una multa de q300 por contaminar carreteras o terrenos baldios  algunas personas continuan con esta mala practica,Comunidades,
020223nacional,nina mata a su bebe,hallan restos de recien nacido en una fosa septica vecinos aseguran que la madre (menor de edad habria dado a luz  luego asesino a su hijo y lo lanzo a ese lugar,Accidentes y Tragedias,
020223centro,diez muertes violentas en enero,sociedad civil externa preocupacion por situacion y la policia dice que esta tras pista de grupos criminales,Seguridad y Bienestar,
020223occidente,dos meses y no avanzan,transportistas amenazan con hacer bloqueos si no se retoman los rabajos en la ruta norte,Comunidades,
020223oriente,balean a dos hombres,autoridades investigan ajuste de cuentas por ataque armado,Criminalidad y Violencia,
020223sur,no respetan el alto,cruce de 4a avenida y 2a calle en la zona 1 se ha vuelto punto de accidentes,Accidentes Viales,
020223norte,nino es hallado muerto en el rio,brayan folgar estuvo tres dias desaparecido llego de la capital a visitar a un familiar,Accidentes y Tragedias,
020223guate,cada vez son mas,muchas mujeres han decidido conducir motocicleta  para ahorrarse dinero y evitar usar el transporte publico,Comunidades,
020323nacional,amiga escucha asesinato,mujer embarazada realiza llamada a una su conocida  quien solo oye gritos  y ayer fue localizada sin vida  este hecho se suma a las 45 muertes violentas de enero,Criminalidad y Violencia,
020323centro,quieren mercado y no cancha,inquilinos piden a comuna priorizar necesidades y rechazan edificacion de polideportivo,Comunidades,
020323occidente,evita choque pero vuelca,camion quedo a un lado de la carretera,Accidentes Viales,
020323oriente,celebran 173 anos de batalla,militares desfilan en conmemoracion del libramiento de la arada,Comunidades,
020323sur,veneran a la virgen,vecinos y visitantes celebran con fervor el dia de la candelaria,Religion y Tradicion,
020323norte,decomisan 47 tragamonedas,es el primer operatico contra  maquinas ilicitas en lo que va del ano,Delincuencia,
020323guate,semanas sin gota de agua,vecinos afectados de la colonia brisas de gerona compran el liquido o le piden a familiares y amios ayuda para curir sus necesidades asicas,Comunidades,
020423nacional,pelea de transito le cuesta la vida,asesinos causan discusion para intentar robarles la moto y lo matan al salir huyendo 0,Delincuencia,
020523nacional,cumplieron su peregrinacion,hoy retornan a sus hogares mas de 30 mil motoristas que viajaron con la promesa de fe al cristo negro,Religion y Tradicion,
020623nacional,mecanico se embarranca con su vehiculo,encarnacion batz compro recientemente el automotor y sus familiares suponen que lo andaba probando,Accidentes Viales,
020623centro,identifican tres pandillas,esperan mas presencia de policias en areas comerciales de la ciudad,Seguridad y Bienestar,
020623occidente,perdidas superan los q100 mil,incendio en aldea san andres chapil afecta cuatro viviendas,Accidentes y Tragedias,
020623oriente,intentan escapar de la policia,se descontrolo ante la presencia de agentes y ocasiono accidente multiple,Accidentes Viales,
020623sur,se quema cuerpo con gasolina,hombre fumaba mientras jugaba botellas con combustible,Accidentes y Tragedias,
020623norte,50 de anos sin tuberia,cocode pide a familias conseguir sus propios conductos para conectar dique y tener agua,Proyectos de Infraestructura,
020623guate,ampliaran cobertura,al menos 450 mil personas se transportan a diario en el sistema del transmetro  que cumplio 16 anos de servicio y preve incluir la linea verde ,Proyectos de Infraestructura,
020723nacional,terremoto deja miles de muertos,dolor  devastacion miedo muerte heridos y desaparecidos es el panorama que se observa luego del terremoto que sacudio turquia y siria los cuerpos de socorro siguen la uusqueda entre los escombros,Seguridad y Bienestar,
020723centro,mas de 150 perro viven en la calle,vecinos demandadan que haya control y cuidado para animales que deambulan por la via publica,Comunidades,
020723occidente,multa es de q25 mil por bloquear paso,se parquean frente a estacion bomberil impidiendo la salidad e unidades de emergencia,Comunidades,
020723oriente,sobrevive al impacto,conductor resulta con heridas de gravedad al chocar con camion cuando intentaba cruzar,Accidentes Viales,
020723sur,derriba poste,bolsas de aire le salvan la vida a conductor pero causa serios danos en tendido electrico,Accidentes Viales,
020723norte,celebran 55 anos de fundacion,jaripeo y conciertos hicieron disfrutar a la poblacion,Comunidades,
020723guate,obra esta incompleta,autoridades habilitaron la ruta entre el milagro y ciudad quetzal,Proyectos de Infraestructura,
020823nacional,violencia imparable contra mujeres,van 45 brutalmente asesinadas ayer fueron 4 mas investigadores lo atribuyen al abuso domestico  participar en pandillas herencias y deudas,Seguridad y Bienestar,
020823centro,mal olor es insoportable,vecinos se santa isabel temen brote de enfermedades por aguas negras estancadas desde hace 15 dias,Comunidades,
020823occidente,exreina huehueteca muere en eeuu,katerin garcia viajo hace ocho anos al norte  donde sufrio un tragico accidente de transito,Accidentes Viales,
020823oriente,libra de carne sube q5,comerciantes y consumidores se preocupan por el alza,Comunidades,
020823sur,piden eliminar basurero ilegal,jornadas de limpieza ilegal no han sido efectivas para cabar con la contaminacion,Riesgos y Emergencias,
020823norte,agua estancada durante 4 meses,comunitarios limpian desechos que afectaba a vendedores de frutas,Riesgos y Emergencias,
020823guate,comunidad gestiono proyecto,durante diez anos  telesecunaria en erro lto funciono en el salon e la comunia  pero ahora ya cuenta con nuevas instalaciones,Comunidades,
020923nacional,destruyen 47 tumbas roban el pie de un muerto,el cementerio concepcion sacojito no esta libre de vandalimo,Delincuencia,
020923centro,circulan hasta 10 mil carro al dia,preven que la proxima semana aumentara la carga vehicular en el centro de la ciudad,Comunidades,
020923occidente,tercera victima del frio,el cuerpo de sandy lopez de 38 anos fue encontrado en la via publica,Desastres Naturales,
020923oriente,basura destruye drenaje,desechos solidos originan el colapso de tuberias en la zona 2,Proyectos de Infraestructura,
020923sur,se estrella contra plataforma,conductor pierde control y sobrevive gracias a las bolsas de aire,Accidentes Viales,
020923norte,hermanos se reunen 58 anos despues,celebran emotivo encuentro familiar en el barrio candelaria,Comunidades,
020923guate,transporte alternativo,proyecto promueve el uso y alquiler de monopatines electricos por 25 el minuto  mas q5 de activacion,Proyectos de Infraestructura,
021023nacional,identifican a migrantes fallecidos,familiares de los chapines muertos en mexico reconocieron por fotografia a sus seres queridos ahora les daran cristiana sepultura en huehuetenango y totonicapan,Accidentes y Tragedias,
021023centro,temen por asaltos contra estudiantes,padres y educadores piden vigilancia en calles para evitar atracos y acoso sufren escolares,Seguridad y Bienestar,
021023occidente,retiran los escombros,dos carros aves de corral y una galera se queman las perdidas se calculan en 100 mil,Riesgos y Emergencias,
021023oriente,percance deja 9 heridos,el vehiculo en el que viajaban cortadores de cafe volco por problemas mecanicos,Accidentes Viales,
021023sur,reparacion no avanza,comerciantes exigen agilizar mejoras en mercado que se incendio hace dos meses,Riesgos y Emergencias,
021023norte,bus arrolla a dos jovenes,piloto responsable del hecho no detuvo marcha tras atropellarle,Accidentes Viales,
021023guate,deberian pagar hasta q5 mil,tras multiples denuncias autoridades aplicaran sancion economica a quienes tiren basura en la calle o terrenos baldios,Delincuencia,
021123nacional,le quitan los dedos por oponerse a asalto,un albanil no quiso entregar sus pertenencias a los ladrones quienes lo machetearon y le causaron varias heridas ademas  se llevan su celular y q300,Criminalidad y Violencia,
021223nacional,impacto mortal,cinco personas que se dirigian a un cumpleanos murieron cuando un bus los choco se equivocaron de via,Accidentes Viales,
021323nacional,discusion fatal,repartidor de comida rapida sufre un balazo en el toraz en un confuso suceso cuando recien comenzaba su turno,Criminalidad y Violencia,
021323centro,engalanan paisaje,la orquesta sinfonica ofrece impresionante concierto en area recien remodelada del cerro de la cruz,Comunidades,
021323occidente,apunalan a abogado,familia pide esclarecer muerte de edgar canastuj cuyo cuerpo fue encontrado en area montanosa,Accidentes y Tragedias,
021323oriente,le dan cinco tiros,joven volvia de visitar a su novia y sufre ataque cuando le llego a reconocer,Criminalidad y Violencia,
021323sur,arrolla a dos ninos,conductora se pasa llevando una ventana de agua pura en la carretera,Accidentes Viales,
021323norte,lleva 10 dias desaparecido,equipos de busqueda todavia no encuentran al turista estadounidense ryamond vicent ashcraft,Accidentes y Tragedias,
021323guate,conquistan mas ventas,comerciantes ofrecen arreglos florales peluches y otros detalles para expresar afecto por el dia del carino,Comunidades,
021423nacional,avionetazo,aeronave se desploma al momento del impacto se incendia y mueren calcinados tres misioneros,Accidentes y Tragedias,
021423centro,ruta cobra vidad de 14 personas,tramo de 40 kilometros ha sido escenario de multiples percances en un mes y medio,Accidentes Viales,
021423occidente,centros de salud no son aptos,instalaciones especialmente en el area norte no llenan las condiciones para atender,Seguridad y Bienestar,
021423oriente,se empotra en vivienda,habitantes se salvan de milagro luego que camion de volteo impactara en la casa por falla en los frenos,Accidentes Viales,
021423sur,sale a pescar y se ahoga,julio cesar ventura de 54 anos fue al rio cheguezmas ya no volvio a su casa,Accidentes y Tragedias,
021423norte,capturado por violacion,allanan tres viviendas en busca de extorsionista en el barrio el centro,Delincuencia,
021423guate,puente de la discordia,vecinos aseguran que remozamiento en el puente rojo no era necesario  ya que hay otras obras en realidad vitales para la comunidad,Proyectos de Infraestructura,
021523nacional,escuelas en ruinas,deterioro construcciones a medias falta de servicios y carencia de techos son algunas de las condiciones que encontraran los ninos al regresar a clases,Educacion,
021523centro,acondicionan 159 establecimientos,autoridades educativas esperan que la proxima semana esten listos,Educacion,
021523occidente,cena romantica termina en tragedia,dayana perez sale expulsada de vehiculo al volcar,Accidentes Viales,
021523oriente,impactado por un camion,vehiculo que circulaba sobre los limites de velocidad choca de frente y se da a la fuga,Accidentes Viales,
021523sur,incendio deja q200 mil en perdidas,fuego destruyeen minutos de vivienda de madera y lamina,Accidentes y Tragedias,
021523norte,fuego consume vivienda,siniestro sorprende a familia durante almuerzo,Accidentes y Tragedias,
021523guate,trabajan contra el tiempo,labores de mejoramiento aun no terminan en la escuela oficial rural mixta de la aldea cruz verde en donde el lunes se inician las clases,Proyectos de Infraestructura,
021623nacional,novio le dispara despues del dia del carino,ataques contra mujeres no se detienen en ola de violencia cuatro asesindas en las ultims horas todas con balazos en el rostro,Criminalidad y Violencia,
021623centro,esperan a 800 mil visitantes,preparan plan de seguridad y limpieza ejecutan durante cuaresma y semana santa,Religion y Tradicion,
021623occidente,instituto danado desde hace 10 anos,establecimiento de aldea cazaque fue afectado por el terremoto de 2012,Desastres Naturales,
021623oriente,bomberos llegan tarde por el trafico,incendio acaba con galera de granja de ganado,Accidentes y Tragedias,
021623sur,escuelas sin agua y con grietas,centros educativos con carencia recibiran a estudiantes en el nuevo ciclo escolar,Educacion,
021623norte,choque mortal,presundente de comunidad linguistica perece en accidente,Accidentes Viales,
021623guate,inaguran nueva ruta,con el funcionamiento de la linea 17 del transmetro  autoridades esperan movilizar a mas de 20 mil personas al mes,Proyectos de Infraestructura,
021723nacional,guardia asesina a companero mientras bebian,en el interior de garita y al calor de los trgos agente privado mata a otro de disparo en la cabeza,Criminalidad y Violencia,
021723centro,inconforme por trabajo,comerciantes del mercado municipal rechazan supuesta privatizacion de aereas,Comunidades,
021723occidente,200 difuntos quedaran sin tumba,nichos sin identificar podrian ser demolido o entregados a otras personas,Proyectos de Infraestructura,
021723oriente,adios al lodo en 3 kilometros,al menos 200 familias de 22 comunidades agricolas seran beneficiadas con la obra,Proyectos de Infraestructura,
021723sur,llega la diversion,ventas y juegos mecanicos ya ocupan espacios en el campo de la feria del carnaval,Comunidades,
021723norte,pega contra rotulo,geovanni sandoval pierde la vida en accidente en el ingreso a la cabecera,Accidentes Viales,
021723guate,obra esta retrasada,en 2021 se iniciaron las labores de mejoramiento del camino que lleva de san antonio las flores hacia san rafael las flores  las cuales debieron terminarse hace siete meses,Proyectos de Infraestructura,
021823nacional,acribilla a ladrones en pleno asalto,hermanos intentan robar una moto pero victima se defiende y los asesina,Criminalidad y Violencia,
021923nacional,prostituian a reclusas,tres guardias del sistema penitenciario obligaban a presas a tener relaciones sexuales con reos de penal para hombres,Delincuencia,
022023nacional,341 mil alumnos dejaron de estudiar en los ultimos tres anos,hoy comienzan las clases en el sector publico  y datos revelan que cada ano aumenta el numero de menores que abandonan las aulas,Educacion,
